deal,Buyer:Lawyer 1,Buyer:Lawyer 1 Law Firm,Buyer:Lawyer 2,Buyer:Lawyer 2 Law Firm,Buyer:Lawyer 3,Buyer:Lawyer 3 Law Firm,Buyer:Lawyer 4,Buyer:Lawyer 4 Law Firm,Buyer:Lawyer 5,Buyer:Lawyer 5 Law Firm,Buyer:Lawyer 6,Buyer:Lawyer 6 Law Firm,Buyer:Lawyer 7,Buyer:Lawyer 7 Law Firm,Buyer:Lawyer 8,Buyer:Lawyer 8 Law Firm,Target/Seller:Lawyer 1,Target/Seller:Lawyer 1 Law Firm,Target/Seller:Lawyer 2,Target/Seller:Lawyer 2 Law Firm,Target/Seller:Lawyer 3,Target/Seller:Lawyer 3 Law Firm,Target/Seller:Lawyer 4,Target/Seller:Lawyer 4 Law Firm,Target/Seller:Lawyer 5,Target/Seller:Lawyer 5 Law Firm,Target/Seller:Lawyer 6,Target/Seller:Lawyer 6 Law Firm,Target/Seller:Lawyer 7,Target/Seller:Lawyer 7 Law Firm,Target/Seller:Lawyer 8,Target/Seller:Lawyer 8 Law Firm
026 - Sanchez Production Partners LP acquisition of equity interests of Catarina.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David Elder,Akin Gump Strauss Hauer & Feld LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Tana Exploration Company LLC acquisition of certain assets of Midstates Pe.docx,Andrew M. Adams,"Gieger, Laborde & Laperouse, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Tana Exploration Company LLC acquisition of certain assets of Midstates Pe.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - US Concrete Inc acquisition of stock of Ferrara Bros Building Materials Co.docx,Kerry Berchem,Akin Gump Strauss Hauer & Feld LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - US Concrete Inc acquisition of stock of Ferrara Bros Building Materials Co.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alan S. Jacobs,Withers Bergman LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - US Concrete Inc acquisition of stock of Ferrara Bros Building Materials Co.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gregory R. Beekman,Lewis Rice,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,Howard L. Ellin,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,NA,NA,C. Michael Chitwood,"Skadden, Arps, Slate, Meagher & Flom LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,NA,NA,NA,NA,NA,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karessa L. Cain,"Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Raaj S. Narayan,"Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - viagogo acquisition of subsidiary equity interests of eBay Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quinn Emanuel Urquhart & Sullivan, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Walgreen Co acquisition of certain assets of Fred's Stores of Tennessee In.docx,Chris Abbinante,Sidley Austin LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Walgreen Co acquisition of certain assets of Fred's Stores of Tennessee In.docx,NA,NA,NA,Weil Gotshal & Manges LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
026 - Walgreen Co acquisition of certain assets of Fred's Stores of Tennessee In.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David D’Urso,Akin Gump Strauss Hauer & Feld LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Archrock Inc acquisition of assets of Elite Compression Services LLC.docx,Ryan J. Maierson,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Archrock Inc acquisition of assets of Elite Compression Services LLC.docx,NA,NA,Nick S. Dhesi,Latham & Watkins LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Archrock Inc acquisition of assets of Elite Compression Services LLC.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,William W. Bos,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Archrock Inc acquisition of assets of Elite Compression Services LLC.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jhett R. Nelson,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Bank First National Corporation and Partnership Community Bancshares Inc m.docx,Mark Kanaly,Alston & Bird LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Bank First National Corporation and Partnership Community Bancshares Inc m.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrick S. Murphy,Godfrey & Kahn S.C.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Barracuda Networks Inc and Intronis Inc merger.docx,Ed Batts,DLA Piper LLP (US),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Barracuda Networks Inc and Intronis Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David Powers,Goodwin Procter LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Basic Energy Services Inc acquisition of equity interests of Maverick comp.docx,James M. Alsup,"Lynch, Chappell & Alsup, P.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Basic Energy Services Inc acquisition of equity interests of Maverick comp.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nathaniel G. Ford (representing Stockholders’ Representative),Perkins Coie LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Campbell Soup Company acquisition of stock of Pacific Foods of Oregon Inc.docx,Solomon Hunter Jr.,Pepper Hamilton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Campbell Soup Company acquisition of stock of Pacific Foods of Oregon Inc.docx,NA,NA,NA,Jones Day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Campbell Soup Company acquisition of stock of Pacific Foods of Oregon Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bruce Berning,Tonkon Torp LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Carriage Services Inc acquisition of assets of SCI Louisiana Funeral Servi.docx,Kevin P. Lewis,"Vinson & Elkins, L.L.P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Carriage Services Inc acquisition of assets of SCI Louisiana Funeral Servi.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Delek Logistics Partners LP acquisition of certain assets of Alon USA Part.docx,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Delek Logistics Partners LP acquisition of certain assets of Alon USA Part.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Depomed Inc acquisition of certain assets of Nautilus Neurosciences Inc.docx,Brian D. Lee,Baker Botts L.L.P.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Depomed Inc acquisition of certain assets of Nautilus Neurosciences Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John T. Capetta,Kelley Drye & Warren LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Depomed Inc acquisition of certain assets of Nautilus Neurosciences Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jay R. Schifferli,Kelley Drye & Warren LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - DigiCert Parent Inc and DigiCert Inc acquisition of certain assets and sub.docx,Gerald T. Nowak,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - DigiCert Parent Inc and DigiCert Inc acquisition of certain assets and sub.docx,NA,NA,Corey D. Fox,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - DigiCert Parent Inc and DigiCert Inc acquisition of certain assets and sub.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Douglas N. Cogen,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - DigiCert Parent Inc and DigiCert Inc acquisition of certain assets and sub.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,David Michaels,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - DigiCert Parent Inc and DigiCert Inc acquisition of certain assets and sub.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bomi Lee,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Energy Resources 12 Operating Company LLC acquisition of certain assets of.docx,Todd W. Spake,Kelly Hart & Hallman LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Energy Resources 12 Operating Company LLC acquisition of certain assets of.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Frazier Healthcare Partners acquisition of stock of MedData Holding Co and.docx,Christian Nugent,Goodwin Procter LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Frazier Healthcare Partners acquisition of stock of MedData Holding Co and.docx,NA,NA,Jared Spitalnick,Goodwin Procter LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Frazier Healthcare Partners acquisition of stock of MedData Holding Co and.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roy Larson,McDermott Will & Emery LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Frazier Healthcare Partners acquisition of stock of MedData Holding Co and.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cleary Gottlieb Steen & Hamilton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Generex Biotechnology Corporation acquisition of certain assets of Veneto .docx,NA,"Eckert Semans Cherin & Mellott, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Generex Biotechnology Corporation acquisition of certain assets of Veneto .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Gray Television Inc and Raycom Media Inc merger.docx,Kevin Mills,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Gray Television Inc and Raycom Media Inc merger.docx,NA,NA,Maureen Nagle,Cooley LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Gray Television Inc and Raycom Media Inc merger.docx,NA,NA,NA,NA,Mark L. Hanson,Jones Day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Gray Television Inc and Raycom Media Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scott Dove,"Robinson, Bradshaw & Hinson, P.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Gray Television Inc and Raycom Media Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jon Jordan,"Robinson, Bradshaw & Hinson, P.A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Gray Television Inc and Raycom Media Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Covington & Burling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - IBERIABANK Corporation and Georgia Commerce Bancshares Inc merger.docx,Edward B. Crosland Jr.,Jones Walker LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - IBERIABANK Corporation and Georgia Commerce Bancshares Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steven S. Dunlevie,"Womble Carlyle Sandridge & Rice, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Information Services Group Inc and Alsbridge Holdings Inc merger.docx,Thomas F. Lamprecht,Katten Muchin Rosenman LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Information Services Group Inc and Alsbridge Holdings Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P. Thao Le,Pepper Hamilton LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - KAR Auction Services Inc dba KAR Global and BacklotCars Inc merger.docx,Brian M. Schafer,Winston & Strawn LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - KAR Auction Services Inc dba KAR Global and BacklotCars Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jack Bowling,Stinson LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - KAR Auction Services Inc dba KAR Global and BacklotCars Inc merger.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scott Gootee,Stinson LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Lippert Components Inc acquisition of stock of Curt Acquisition Holdings I.docx,Trevor Belden,Faegre Baker Daniels LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Lippert Components Inc acquisition of stock of Curt Acquisition Holdings I.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Robert A. Wilson,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Lippert Components Inc acquisition of stock of Curt Acquisition Holdings I.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Daniel A. Guerin Fredrikson,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Lippert Components Inc acquisition of stock of Curt Acquisition Holdings I.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Byron,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Lippert Components Inc acquisition of stock of Curt Acquisition Holdings I.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P.A.,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA
027 - Matson Logistics Inc acquisition of equity interests of Span Intermediate .docx,Douglas D. Smith,"Gibson, Dunn & Crutcher LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Matson Logistics Inc acquisition of equity interests of Span Intermediate .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martin A. DiLoreto Jr.,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Matson Logistics Inc acquisition of equity interests of Span Intermediate .docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paul W. Anderson,Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Premier Financial Bancorp Inc and First National Bankshares Corporation me.docx,Thomas J. Murray,Dinsmore & Shohl LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Premier Financial Bancorp Inc and First National Bankshares Corporation me.docx,NA,NA,Daniel J. Konrad,Dinsmore & Shohl LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Premier Financial Bancorp Inc and First National Bankshares Corporation me.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charles D. Dunbar,Jackson Kelly PLLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Select Medical Holdings Corporation acquisition of stock of US HealthWorks.docx,Stephen M. Leitzell,Dechert LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Select Medical Holdings Corporation acquisition of stock of US HealthWorks.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Timothy G. Hoxie,Jones Day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - SSAndC Technologies Holdings Inc acquisition of equity interests of Impala.docx,Leonard Kreynin,Davis Polk & Wardwell LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - SSAndC Technologies Holdings Inc acquisition of equity interests of Impala.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Andrew J. Nussbaum,"Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - SSAndC Technologies Holdings Inc acquisition of equity interests of Impala.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Igor Kirman,"Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - SSAndC Technologies Holdings Inc acquisition of equity interests of Impala.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nancy B. Greenbaum,"Wachtell, Lipton, Rosen & Katz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - SXC Health Solutions Corp acquisition of equity interests of HealthTran LL.docx,Gary D. Gerstman,Sidley Austin LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - SXC Health Solutions Corp acquisition of equity interests of HealthTran LL.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Paul J. Hanley (representing Target and Sellers’ Representative),Grimshaw & Harring PC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - SXC Health Solutions Corp acquisition of equity interests of HealthTran LL.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Joshua Kogan (representing a specified Seller),Kirkland & Ellis LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - TETRA Technologies Inc acquisition of stock of Compressor Systems Inc.docx,David C. Buck,"Andrews Kurth, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - TETRA Technologies Inc acquisition of stock of Compressor Systems Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W. Garney Griggs,"Strasburger & Price, LLP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Trimble Inc acquisition of stock of e-Builder Inc.docx,Jeff Beuche,Perkins Coie LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Trimble Inc acquisition of stock of e-Builder Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scott B. Joachim,Fenwick & West LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Virtusa Corporation acquisition of stock of Apparatus Inc.docx,John J. Egan,Goodwin Procter LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Virtusa Corporation acquisition of stock of Apparatus Inc.docx,NA,NA,Edward King,Goodwin Procter LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - Virtusa Corporation acquisition of stock of Apparatus Inc.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scott Snively,Ice Miller LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - WestRock Company acquisition of equity interests of Cenveo Commercial Ohio.docx,NA,Not disclosed at signing.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
027 - WestRock Company acquisition of equity interests of Cenveo Commercial Ohio.docx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kenneth A. Lefkowitz,Hughes Hubbard & Reed LLP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
